,date,value,symbol
0,2023-09-11,90.84,XLE
1,2023-08-31,88.92,XLE
2,2023-07-31,87.48,XLE
3,2023-06-30,81.17,XLE
4,2023-05-31,75.9063,XLE
5,2023-04-28,84.37,XLE
6,2023-03-31,82.0906,XLE
7,2023-02-28,82.1025,XLE
8,2023-01-31,88.2241,XLE
9,2022-12-30,85.8108,XLE
10,2022-11-30,88.5096,XLE
11,2022-10-31,87.393,XLE
12,2022-09-30,69.9338,XLE
13,2022-08-31,77.3253,XLE
14,2022-07-29,75.3274,XLE
15,2022-06-30,68.6899,XLE
16,2022-05-31,82.8774,XLE
17,2022-04-29,71.4247,XLE
18,2022-03-31,72.6508,XLE
19,2022-02-28,66.4701,XLE
20,2022-01-31,62.0815,XLE
21,2021-12-31,52.2682,XLE
22,2021-11-30,50.7459,XLE
23,2021-10-29,53.4231,XLE
24,2021-09-30,48.4219,XLE
25,2021-08-31,44.435,XLE
26,2021-07-30,45.3439,XLE
27,2021-06-30,49.4569,XLE
28,2021-05-28,47.4674,XLE
29,2021-04-30,44.9035,XLE
30,2021-03-31,44.6035,XLE
31,2021-02-26,43.3122,XLE
32,2021-01-29,35.3694,XLE
33,2020-12-31,34.0921,XLE
34,2020-11-30,32.6216,XLE
35,2020-10-30,25.4868,XLE
36,2020-09-30,26.5783,XLE
37,2020-08-31,31.1077,XLE
38,2020-07-31,31.4393,XLE
39,2020-06-30,33.0274,XLE
40,2020-05-29,33.3951,XLE
41,2020-04-30,32.7403,XLE
42,2020-03-31,25.0377,XLE
43,2020-02-28,38.0898,XLE
44,2020-01-31,44.964,XLE
45,2019-12-31,50.5171,XLE
46,2019-11-29,47.6459,XLE
47,2019-10-31,46.8935,XLE
48,2019-09-30,47.8967,XLE
49,2019-08-30,46.0836,XLE
50,2019-07-31,50.2687,XLE
51,2019-06-28,51.0784,XLE
52,2019-05-31,46.6944,XLE
53,2019-04-30,52.5262,XLE
54,2019-03-29,52.5341,XLE
55,2019-02-28,51.4396,XLE
56,2019-01-31,50.2807,XLE
57,2018-12-31,45.2117,XLE
58,2018-11-30,51.6299,XLE
59,2018-10-31,52.4499,XLE
60,2018-09-28,59.1506,XLE
61,2018-08-31,57.7408,XLE
62,2018-07-31,59.8196,XLE
63,2018-06-29,58.9043,XLE
64,2018-05-31,58.5618,XLE
65,2018-04-30,56.8593,XLE
66,2018-03-29,51.9291,XLE
67,2018-02-28,51.0528,XLE
68,2018-01-31,57.2566,XLE
69,2017-12-29,55.2754,XLE
70,2017-11-30,52.5079,XLE
71,2017-10-31,51.6037,XLE
72,2017-09-29,52.0368,XLE
73,2017-08-31,47.2291,XLE
74,2017-07-31,49.9667,XLE
75,2017-06-30,48.6916,XLE
76,2017-05-31,48.7514,XLE
77,2017-04-28,50.5393,XLE
78,2017-03-31,52.074,XLE
79,2017-02-28,52.8592,XLE
80,2017-01-31,53.9848,XLE
81,2016-12-30,55.7769,XLE
82,2016-11-30,54.8295,XLE
83,2016-10-31,50.5495,XLE
84,2016-09-30,52.0155,XLE
85,2016-08-31,50.1632,XLE
86,2016-07-29,49.3358,XLE
87,2016-06-30,49.9655,XLE
88,2016-05-31,48.645,XLE
89,2016-04-29,49.1033,XLE
90,2016-03-31,45.0223,XLE
91,2016-02-29,40.8682,XLE
92,2016-01-29,42.0456,XLE
93,2015-12-31,43.5697,XLE
94,2015-11-30,48.6825,XLE
95,2015-10-30,48.6896,XLE
96,2015-09-30,43.8085,XLE
97,2015-08-31,47.1869,XLE
98,2015-07-31,49.2824,XLE
99,2015-06-30,53.3881,XLE
100,2015-05-29,55.3117,XLE
101,2015-04-30,58.3387,XLE
102,2015-03-31,54.7402,XLE
103,2015-02-27,55.3854,XLE
104,2015-01-30,52.9533,XLE
105,2014-12-31,55.4835,XLE
106,2014-11-28,55.6111,XLE
107,2014-10-31,60.906,XLE
108,2014-09-30,63.1355,XLE
109,2014-08-29,68.4401,XLE
110,2014-07-31,66.9776,XLE
111,2014-06-30,69.3827,XLE
112,2014-05-30,65.7606,XLE
113,2014-04-30,64.6774,XLE
114,2014-03-31,61.4483,XLE
115,2014-02-28,60.1803,XLE
116,2014-01-31,57.2485,XLE
117,2013-12-31,60.7707,XLE
118,2013-11-29,59.075,XLE
119,2013-10-31,59.0408,XLE
120,2013-09-30,56.6619,XLE
121,2013-08-30,55.4875,XLE
122,2013-07-31,56.0657,XLE
123,2013-06-28,53.2631,XLE
124,2013-05-31,54.4986,XLE
125,2013-04-30,52.9889,XLE
126,2013-03-28,53.693,XLE
127,2013-02-28,52.3614,XLE
128,2013-01-31,52.1322,XLE
129,2012-12-31,48.1355,XLE
130,2012-11-30,47.6476,XLE
131,2012-10-31,48.2378,XLE
132,2012-09-28,49.2401,XLE
133,2012-08-31,47.7494,XLE
134,2012-07-31,46.4944,XLE
135,2012-06-29,44.3049,XLE
136,2012-05-31,42.2754,XLE
137,2012-04-30,47.3314,XLE
138,2012-03-30,47.6703,XLE
139,2012-02-29,49.5612,XLE
140,2012-01-31,46.788,XLE
141,2011-12-30,45.7555,XLE
142,2011-11-30,46.7112,XLE
143,2011-10-31,45.9467,XLE
144,2011-09-30,38.5646,XLE
145,2011-08-31,45.0638,XLE
146,2011-07-29,50.1912,XLE
147,2011-06-30,49.4691,XLE
148,2011-05-31,50.4384,XLE
149,2011-04-29,52.6421,XLE
150,2011-03-31,52.1652,XLE
151,2011-02-28,51.2006,XLE
152,2011-01-31,47.6869,XLE
153,2010-12-31,44.4925,XLE
154,2010-11-30,40.7001,XLE
155,2010-10-29,38.448,XLE
156,2010-09-30,36.3841,XLE
157,2010-08-31,33.0769,XLE
158,2010-07-30,34.7824,XLE
159,2010-06-30,32.0949,XLE
160,2010-05-28,34.1177,XLE
161,2010-04-30,38.5295,XLE
162,2010-03-31,36.9925,XLE
163,2010-02-26,35.9773,XLE
164,2010-01-29,34.9263,XLE
165,2009-12-31,36.5348,XLE
166,2009-11-30,36.2167,XLE
167,2009-10-30,35.216,XLE
168,2009-09-30,34.3682,XLE
169,2009-08-31,32.4705,XLE
170,2009-07-31,32.1215,XLE
171,2009-06-30,30.4907,XLE
172,2009-05-29,32.626,XLE
173,2009-04-30,28.9013,XLE
174,2009-03-31,26.8053,XLE
175,2009-02-27,25.8302,XLE
176,2009-01-30,29.4635,XLE
177,2008-12-31,29.9973,XLE
178,2008-11-28,31.4104,XLE
179,2008-10-31,32.0164,XLE
180,2008-09-30,39.6753,XLE
181,2008-08-29,46.4,XLE
